Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data																	
Date:	4/9/2020																
																	
Time	Sample No.	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Cold Junction 1	Cold Junction 2	Cold Junction 3	Cold Junction 4	Voltage 1	Voltage 2	Voltage 3	Voltage 4	Resistance 5	Resistance 6
		°F	°F	°F	°F	°F	°F	°F	°F	°F	°F	mV	mV	mV	mV	?	?
4/9/2020 18:20	0	110.9	106	105.6	100.7	High	High	78.5	79.1	79.7	79.7	0.7331	0.6194	0.5968	0.4805	High	High
4/9/2020 18:22	1	114.8	110.3	110	105.6	High	High	79.4	80.6	81.3	81.5	0.8009	0.6867	0.6632	0.5537	High	High
4/9/2020 18:24	2	118.4	113.7	113.8	109.5	High	High	80.1	81.1	82	82.4	0.8677	0.753	0.735	0.6262	High	High
4/9/2020 18:26	3	122	117.1	117.4	113.2	High	High	80.6	81.6	82.5	82.9	0.9388	0.8236	0.8099	0.6984	High	High
4/9/2020 18:28	4	125.5	120.5	121	116.5	High	High	80.9	81.9	82.8	83.2	1.0113	0.8936	0.8863	0.7702	High	High
4/9/2020 18:30	5	129.2	124.2	124.5	120	High	High	81.3	82.3	83.2	83.7	1.0864	0.9748	0.9602	0.8432	High	High
4/9/2020 18:32	6	132.5	127.5	127.8	123.2	High	High	81.6	82.6	83.5	83.9	1.1592	1.0483	1.035	0.9134	High	High
4/9/2020 18:34	7	136	130.8	131.1	126.5	High	High	81.9	82.9	83.7	84.1	1.2337	1.1214	1.1097	0.9879	High	High
4/9/2020 18:36	8	139.7	134.4	134.6	129.7	High	High	82.1	83	84	84.3	1.3123	1.2039	1.1892	1.0638	High	High
4/9/2020 18:38	9	143.1	138	137.9	133	High	High	82.1	83.3	84.1	84.4	1.3907	1.2859	1.2658	1.139	High	High
4/9/2020 18:40	10	146.6	140.9	141.3	136.1	High	High	82.4	83.3	84.2	84.6	1.4675	1.356	1.3459	1.2101	High	High
4/9/2020 18:42	11	150.3	144.4	144.8	139.4	High	High	82.5	83.5	84.3	84.6	1.547	1.438	1.4248	1.2891	High	High
4/9/2020 18:44	12	153.7	148	148	142.5	High	High	82.6	83.6	84.4	84.7	1.6234	1.5173	1.5021	1.3637	High	High
4/9/2020 18:46	13	157.1	151.3	151.4	146	High	High	82.7	83.7	84.5	84.9	1.7026	1.5971	1.5813	1.4444	High	High
4/9/2020 18:48	14	160.8	154.7	154.7	149.1	High	High	82.8	83.8	84.6	84.8	1.7824	1.6831	1.6617	1.517	High	High
4/9/2020 18:50	15	164.3	158.2	158.2	152.5	High	High	82.8	83.8	84.6	85	1.8622	1.7628	1.7475	1.5989	High	High
4/9/2020 18:52	16	168.1	161.3	161.4	155.6	High	High	82.9	83.9	84.7	84.9	1.9465	1.841	1.8259	1.6779	High	High
4/9/2020 18:54	17	171.4	164.7	164.8	158.8	High	High	83	83.9	84.9	85	2.0246	1.9246	1.9099	1.7549	High	High
4/9/2020 18:56	18	175	167.8	168	162	High	High	83	84.1	84.9	85.1	2.1032	2.0014	1.9879	1.8325	High	High
4/9/2020 18:58	19	178.5	171.1	177.4	165.3	High	High	83.1	84.1	84.9	85.1	2.1843	2.0817	2.2209	1.9127	High	High
4/9/2020 19:00	20	182.3	174.4	181.2	168.4	High	High	83	84.1	84.9	85.1	2.2685	2.1636	2.3175	1.9907	High	High
4/9/2020 19:02	21	186.1	178.1	184.8	171.5	High	High	82.9	83.9	84.7	85	2.3611	2.258	2.4107	2.0706	High	High
4/9/2020 19:04	22	189.7	181.2	187.8	174.9	High	High	82.8	83.7	84.6	84.9	2.4481	2.3391	2.4915	2.1561	High	High
4/9/2020 19:06	23	193.3	184.4	191.7	178.1	High	High	82.8	83.8	84.6	85	2.5301	2.4249	2.5913	2.2338	High	High
4/9/2020 19:08	24	196.8	187.8	194.9	181.3	High	High	82.8	83.9	84.7	85.1	2.6109	2.5071	2.6695	2.3126	High	High
4/9/2020 19:10	25	200.4	191.1	197.6	184.7	High	High	83	84.1	85.1	85.2	2.6874	2.5866	2.7315	2.3942	High	High
4/9/2020 19:12	26	204	194.5	201.5	187.7	High	High	83.3	84.3	85.1	85.6	2.7657	2.6701	2.8285	2.4676	High	High
4/9/2020 19:14	27	207.6	198	204.6	190.8	High	High	83.5	84.5	85.4	85.8	2.8439	2.7525	2.9039	2.5425	High	High
4/9/2020 19:16	28	211	201.2	207.8	194	High	High	83.7	84.7	85.5	86	2.9173	2.8316	2.9827	2.6168	High	High
4/9/2020 19:18	29	214.4	204.6	211.2	196.8	High	High	83.9	85	85.9	86.2	2.9903	2.9116	3.0625	2.6851	High	High
4/9/2020 19:20	30	218	208.1	214	200.1	High	High	84.2	85.2	86.1	86.4	3.068	2.9938	3.1305	2.7654	High	High
4/9/2020 19:22	31	221.5	211.1	217.8	202.9	High	High	84.5	85.4	86.2	86.5	3.1426	3.0711	3.2269	2.8356	High	High
4/9/2020 19:24	32	225	214.5	220.7	206.1	High	High	84.6	85.6	86.4	86.8	3.2186	3.1546	3.2986	2.913	High	High
4/9/2020 19:26	33	228.6	217.5	224.2	209.2	High	High	84.7	85.7	86.5	86.9	3.3005	3.231	3.389	2.9833	High	High
4/9/2020 19:28	34	232.2	221.2	226.9	212.3	High	High	84.8	85.9	86.8	87.1	3.3781	3.3258	3.4561	3.0625	High	High
4/9/2020 19:30	35	235.5	224.5	230.4	215.3	High	High	84.9	86.1	86.9	87.1	3.4512	3.4084	3.5437	3.1392	High	High
4/9/2020 19:32	36	239.1	228	233.2	218	High	High	85.2	86.2	87	87.5	3.5278	3.4938	3.6135	3.2086	High	High
4/9/2020 19:34	37	242.4	231.4	236.2	221	High	High	85.3	86.3	87.2	87.5	3.6009	3.5806	3.6885	3.2839	High	High
4/9/2020 19:36	38	245.9	235.3	239.1	224.5	High	High	85.5	86.4	87.2	87.6	3.6803	3.6822	3.7661	3.3698	High	High
4/9/2020 19:38	39	249.7	239.5	242.3	227.4	High	High	85.4	86.4	87.3	87.8	3.7629	3.7906	3.8476	3.4445	High	High
4/9/2020 19:40	40	253.2	242.3	245.2	230	High	High	85.5	86.4	87.3	87.7	3.8401	3.87	3.9256	3.5152	High	High
4/9/2020 19:42	41	256.7	246.1	248.7	233.2	High	High	85.5	86.6	87.4	87.8	3.9181	3.9712	4.02	3.5964	High	High
4/9/2020 19:44	42	260.4	254.1	251.1	236.1	High	High	85.4	86.5	87.3	87.7	4.0044	4.1839	4.0854	3.6748	High	High
4/9/2020 19:46	43	263.9	257.4	254.4	239.4	High	High	85.3	86.4	87.2	87.8	4.0863	4.2735	4.175	3.7596	High	High
4/9/2020 19:48	44	267.4	260.6	258.1	242.3	High	High	85.3	86.3	87.2	87.7	4.1685	4.3625	4.2743	3.8411	High	High
4/9/2020 19:50	45	270.9	263.4	260.1	245	High	High	85.2	86.4	87.2	87.7	4.2488	4.4393	4.3266	3.9137	High	High
4/9/2020 19:52	46	274.4	266.1	262.7	248	High	High	85.3	86.3	87.4	87.7	4.3249	4.5079	4.3928	3.9905	High	High
4/9/2020 19:54	47	277.8	269.5	266.4	251.2	High	High	85.3	86.4	87.3	87.8	4.4009	4.6026	4.4972	4.0734	High	High
4/9/2020 19:56	48	281.3	272.5	269.7	253.8	High	High	85.6	86.8	87.6	88	4.4728	4.6794	4.5818	4.1404	High	High
4/9/2020 19:58	49	284.4	275	271.9	256.5	High	High	85.7	86.9	87.7	88.2	4.5405	4.7423	4.6405	4.2134	High	High
4/9/2020 20:00	50	287.8	278.1	275	259.3	High	High	85.8	86.9	87.7	88.2	4.6163	4.8287	4.7247	4.286	High	High
4/9/2020 20:02	51	291.2	281.6	277.9	262.5	High	High	86	87.1	87.8	88	4.6885	4.9176	4.8022	4.3732	High	High
4/9/2020 20:04	52	294.5	284	280.1	265.2	High	High	86	87.1	87.9	88.2	4.7651	4.9845	4.8629	4.4479	High	High
4/9/2020 20:06	53	297.9	287	283.9	268.2	High	High	86.1	87.1	87.9	88.2	4.8377	5.0629	4.9626	4.5271	High	High
4/9/2020 20:08	54	301.3	289.8	286.6	270.8	High	High	86.2	87.2	88.1	88.3	4.9107	5.141	5.0322	4.5955	High	High
4/9/2020 20:10	55	304.9	292.5	290	273.6	High	High	86.2	87.2	88	88.3	4.9904	5.2154	5.1295	4.6752	High	High
4/9/2020 20:12	56	308.5	295.6	293.2	276.6	High	High	86.1	87.2	88	88.2	5.0727	5.3021	5.2184	4.7536	High	High
4/9/2020 20:14	57	311.8	298.1	295.9	279.3	High	High	86.2	87.1	88	88.3	5.1464	5.372	5.2902	4.8294	High	High
4/9/2020 20:16	58	315.4	301.3	298.8	282.2	High	High	86	87.2	88	88.4	5.2269	5.4611	5.3719	4.9052	High	High
4/9/2020 20:18	59	319	304.4	301	284.9	High	High	86	87	87.9	88.4	5.3094	5.5545	5.4365	4.979	High	High
4/9/2020 20:20	60	322.4	307.1	304	287.6	High	High	86	87	87.9	88.4	5.3875	5.6275	5.5191	5.0566	High	High
4/9/2020 20:22	61	325.6	309.9	306.2	290.4	High	High	86	87.1	88	88.5	5.4562	5.7071	5.58	5.1278	High	High
4/9/2020 20:24	62	329.1	312.6	309.3	293.1	High	High	86.3	87.5	88.5	88.7	5.5274	5.7732	5.6612	5.198	High	High
4/9/2020 20:26	63	332.2	315.3	311.8	295.7	High	High	86.6	87.8	88.7	89.1	5.5886	5.8455	5.7293	5.2611	High	High
4/9/2020 20:28	64	335.7	317.9	314	298.3	High	High	86.7	87.9	88.8	89.2	5.6608	5.9149	5.7862	5.333	High	High
4/9/2020 20:30	65	339	321	316.9	301.2	High	High	87.1	88.1	88.9	89.3	5.7317	5.9988	5.8643	5.4121	High	High
4/9/2020 20:32	66	342.1	323.8	319.7	304	High	High	87.2	88.2	89.1	89.5	5.8	6.0722	5.9398	5.4873	High	High
4/9/2020 20:34	67	345.6	326.5	322.6	306.7	High	High	87.4	88.4	89.2	89.5	5.8718	6.145	6.0185	5.5615	High	High
4/9/2020 20:36	68	349.2	329.6	325	309.5	High	High	87.5	88.4	89.5	89.6	5.9466	6.2319	6.0848	5.639	High	High
4/9/2020 20:38	69	352.5	332.2	328	312.1	High	High	87.5	88.7	89.5	89.7	6.0196	6.3021	6.1625	5.7088	High	High
4/9/2020 20:40	70	355.9	335.3	329.6	314.8	High	High	87.6	88.8	89.7	89.7	6.095	6.389	6.2054	5.7836	High	High
4/9/2020 20:42	71	359.7	338	333.5	317.6	High	High	88	88.9	89.7	89.8	6.1708	6.4605	6.3152	5.8619	High	High
4/9/2020 20:44	72	363	340.7	335.4	320.5	High	High	88.1	89	89.8	90.1	6.2422	6.5345	6.3652	5.94	High	High
4/9/2020 20:46	73	366.5	343.3	336.6	322.9	High	High	88.1	89.1	89.9	90.2	6.3205	6.6065	6.4	6.0066	High	High
4/9/2020 20:48	74	370.1	346.5	341.9	325.7	High	High	87.9	88.9	89.8	90.1	6.4064	6.7015	6.5498	6.0866	High	High
